"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
161,25 Jan 2026 18:13:26.530,25 Jan 2026 18:19:42.839,376.309
162,26 Jan 2026 03:22:47.366,26 Jan 2026 03:22:50.883,3.517
163,26 Jan 2026 03:22:58.898,26 Jan 2026 03:23:31.302,32.404
164,26 Jan 2026 03:23:40.447,26 Jan 2026 03:23:59.430,18.983
165,26 Jan 2026 03:24:09.176,26 Jan 2026 03:24:51.066,41.891
166,26 Jan 2026 04:55:36.976,26 Jan 2026 05:01:17.383,340.408
167,26 Jan 2026 06:30:45.104,26 Jan 2026 06:31:43.323,58.218
168,26 Jan 2026 16:24:00.370,26 Jan 2026 16:24:02.624,2.253
169,26 Jan 2026 16:24:12.918,26 Jan 2026 16:24:45.356,32.438
170,26 Jan 2026 16:24:54.503,26 Jan 2026 16:25:02.684,8.181
171,26 Jan 2026 16:25:37.118,26 Jan 2026 16:25:39.188,2.070
172,26 Jan 2026 17:54:38.589,26 Jan 2026 18:00:33.238,354.649
173,26 Jan 2026 19:31:19.723,26 Jan 2026 19:31:32.747,13.024
174,27 Jan 2026 04:36:57.028,27 Jan 2026 04:42:30.021,332.993
175,27 Jan 2026 06:10:33.571,27 Jan 2026 06:13:34.139,180.568
176,27 Jan 2026 06:14:58.224,27 Jan 2026 06:15:03.204,4.980
177,27 Jan 2026 17:35:57.945,27 Jan 2026 17:41:23.941,325.997
178,27 Jan 2026 19:11:02.276,27 Jan 2026 19:12:57.098,114.821
179,27 Jan 2026 19:14:03.783,27 Jan 2026 19:16:13.638,129.855
180,28 Jan 2026 04:16:56.549,28 Jan 2026 04:23:35.092,398.543
181,28 Jan 2026 05:51:51.889,28 Jan 2026 05:57:02.436,310.547
182,28 Jan 2026 17:17:33.693,28 Jan 2026 17:22:24.835,291.142
183,28 Jan 2026 18:51:40.884,28 Jan 2026 18:58:19.051,398.167
184,29 Jan 2026 03:57:32.599,29 Jan 2026 04:04:30.757,418.158
185,29 Jan 2026 05:33:11.194,29 Jan 2026 05:38:42.133,330.940
186,29 Jan 2026 16:59:22.478,29 Jan 2026 16:59:29.216,6.739
187,29 Jan 2026 16:59:41.509,29 Jan 2026 17:04:16.116,274.607
188,29 Jan 2026 18:32:35.504,29 Jan 2026 18:39:05.324,389.820
189,30 Jan 2026 03:39:48.503,30 Jan 2026 03:40:01.437,12.934
190,30 Jan 2026 03:40:39.376,30 Jan 2026 03:45:00.176,260.799
191,30 Jan 2026 05:14:30.833,30 Jan 2026 05:20:10.531,339.698
192,30 Jan 2026 16:41:00.697,30 Jan 2026 16:42:00.866,60.170
193,30 Jan 2026 16:42:04.993,30 Jan 2026 16:46:12.623,247.630
194,30 Jan 2026 18:13:39.821,30 Jan 2026 18:19:56.344,376.522
195,31 Jan 2026 03:23:00.690,31 Jan 2026 03:23:04.200,3.510
196,31 Jan 2026 03:23:12.194,31 Jan 2026 03:23:44.523,32.329
197,31 Jan 2026 03:23:53.655,31 Jan 2026 03:24:12.596,18.941
198,31 Jan 2026 03:24:22.323,31 Jan 2026 03:25:04.132,41.809
199,31 Jan 2026 04:55:50.136,31 Jan 2026 05:01:30.582,340.445
200,31 Jan 2026 06:31:05.210,31 Jan 2026 06:31:49.924,44.714
201,31 Jan 2026 16:24:13.647,31 Jan 2026 16:24:15.901,2.253
202,31 Jan 2026 16:24:26.163,31 Jan 2026 16:24:58.534,32.371
203,31 Jan 2026 16:25:07.649,31 Jan 2026 16:25:15.866,8.217
204,31 Jan 2026 16:25:50.164,31 Jan 2026 16:25:55.482,5.319
205,31 Jan 2026 17:54:51.795,31 Jan 2026 18:00:46.729,354.933
206,31 Jan 2026 19:31:35.858,31 Jan 2026 19:31:45.869,10.011

Global Statistics
"Min Duration",96,16 Jan 2026 03:22:23.063,16 Jan 2026 03:22:24.252,1.188
"Max Duration",184,29 Jan 2026 03:57:32.599,29 Jan 2026 04:04:30.757,418.158
"Mean Duration",,,,183.018
"Total Duration",,,,37701.796


